Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Василевич,Златослава,Василівна,жіноча,1996-12-16,Няня,місто Вільногірськ,"провулок Пестеля, буд. 96 кв. 45, Одеса, 69374",596 02 14,demydenkomariia@example.org
Рудько,Розалія,Іванівна,жіноча,1943-06-30,Дипломат,село Почаїв,"провулок Овідіопольська дуга, буд. 2, Вільногірськ, 67520",+380 (82) 961-73-40,liubov76@example.org
Цюпа,Пилип,Васильович,чоловіча,1986-06-13,Науковець,селище Глухів,"парк Мічманський 2-й, буд. 68 кв. 45, Павлоград, 29287",574-97-93,halynademianchuk@example.org
Вишняк,Марія,Максимівна,жіноча,1987-02-23,Провізор,село Судова Вишня,"проспект Лядова, буд. 43 кв. 80, Городня, 71700",021 757-61-80,skhudiak@example.com
Гунько,Віолетта,Геннадіївна,жіноча,1969-12-20,Піаніст,селище Кам'янка-Бузька,"парк Соляний 1-й, буд. 52, Подільськ, 90104",+380 (84) 307-19-81,alberttsiupa@example.net
Вишняк,Ада,Василівна,жіноча,1985-08-22,Краєзнавець,місто Верхівцеве,"парк Бахчева, буд. 0, Вільнянськ, 90161",952-46-63,iaroslav46@example.com
Семенченко,Федір,Іванович,чоловіча,1980-10-12,Юрист,місто Харцизьк,"шосе Героїв прикордонників, буд. 5 кв. 3, Нова Одеса, 51295",+380 57 818-92-98,maryna16@example.org
Бездітко,Ігор,Андрійович,чоловіча,1959-03-24,Шериф,село Бердянськ,"набережна Прорізний, буд. 6 кв. 52, Білицьке, 99930",+380 62 677 74 25,maryna50@example.net
Артюх,Орина,Артемівна,жіноча,1980-10-20,Нотаріус,місто Житомир,"вулиця Виставочна, буд. 1 кв. 91, Славутич, 69921",048 63 35,amvrosii24@example.org
Христенко,Ігнат,Іванович,чоловіча,1946-04-29,Різноробочий,селище Миронівка,"парк Балтський 5-й, буд. 53 кв. 656, Петрово-Красносілля, 60124",075 205 64 57,violettaaverchenko@example.com
Бараник,Мілена,Юріївна,жіноча,1971-05-29,Електрослюсар,селище Біляївка,"сквер Катаєва, буд. 610, Чоп, 70459",+380 98 247-79-56,halyna26@example.com
Артимишин,Ілля,Леонідович,чоловіча,1973-07-12,Кінолог,хутір Сєвєродонецьк,"шосе Сумський, буд. 3 кв. 3, Сколе, 25695",+380 (35) 532-45-21,veniiamyn24@example.net
Перепелиця,Венедикт,Петрович,чоловіча,1988-04-22,Соціолог,місто Токмак,"набережна Монгольська, буд. 658, Первомайськ, 44656",659-51-56,adamhaidenko@example.com
Ємець,Охрім,Артемович,чоловіча,1996-02-20,Ботанік,місто Кременець,"площа Інтернаціональний, буд. 203, Бершадь, 83315",+380 18 292-17-44,oirvanets@example.net
Забіла,Мирон,Олегович,чоловіча,1987-01-07,Кушнір,місто Макіївка,"набережна Змієнка Всеволода, буд. 89, Рогатин, 17702",+380 64 195 34 33,lesiaremko@example.net
Гоголь,Маруся,Олександрівна,жіноча,1997-02-02,Електромонтер,місто Зміїв,"площа Пресича Олександра, буд. 06, Олександрівськ, 94000",820 95 59,ivanprytula@example.org
Фастенко,Теодор,Артемович,чоловіча,1997-12-04,Публіцист,селище Мостиська,"узвіз Цегельнозаводська, буд. 235 кв. 05, Острог, 68942",012-12-88,zakharchenkoartem@example.com
Верхола,Миколай,Васильович,чоловіча,1982-04-28,Актор,село Звенигородка,"площа Танкістів, буд. 550 кв. 9, Гайсин, 60649",054 004-41-39,babiiklyment@example.com
Михайличенко,Світлана,Михайлівна,жіноча,1954-06-07,Історик,хутір Світловодськ,"сквер Чорноморська, буд. 3 кв. 60, Чорноморськ, 11087",+380 57 207-56-45,ada66@example.org
Христенко,Давид,Миколайович,чоловіча,1986-06-30,Бізнесмен,місто Заліщики,"сквер Маразліївська, буд. 78, Монастириська, 96005",082 994 06 39,wdrozd@example.com
Вдовиченко,Орест,Михайлович,чоловіча,1991-07-30,Няня,місто Добромиль,"сквер Краснова, буд. 67 кв. 045, Гуляйполе, 66900",035 838-66-61,anita26@example.com
Єресько,Святослава,Олександрівна,жіноча,1988-07-19,Кінолог,хутір Заставна,"шосе Тепличний 2-й, буд. 6 кв. 6, Керч, 79015",+380 23 985 27 66,orestbaida@example.net
Дубенко,Панас,Вікторович,чоловіча,1987-01-15,Локсмайстер,хутір Бобринець,"проспект Достоєвського, буд. 16, Яготин, 75049",+380 (05) 617-85-10,tymofiibazylevych@example.org
Талан,Костянтин,Леонідович,чоловіча,1943-12-05,Астроном,місто Чигирин,"провулок Партизанська, буд. 766 кв. 771, Кропивницький, 23608",+380 13 484-92-86,fvasylashko@example.net
Теліженко,Альбіна,Петрівна,жіноча,1977-06-09,Стоматолог,місто Карлівка,"узвіз Верстатобудівна, буд. 68, Гайсин, 46504",057 469 57 35,shutkoparmen@example.net
Дрозденко,Валерій,Геннадійович,чоловіча,1946-07-13,Дантист,село Міусинськ,"парк Гетьманський, буд. 2, Кипуче, 10771",+380 70 590 15 18,tkhrystych@example.com
Голик,Єфрем,Олександрович,чоловіча,1939-11-30,Електротехнік,хутір Бахмач,"парк Художника Федорова, буд. 884, Снігурівка, 57110",332-02-99,alevtyn08@example.com
Верхола,Мирон,Павлович,чоловіча,1952-07-14,Правник,село Луцьк,"набережна Тираспольська, буд. 979, Пирятин, 18235",+380 (75) 052-33-17,ttsushko@example.com
Гайденко,Ада,Павлівна,жіноча,1957-03-24,Скульптор,місто Підгайці,"вулиця Мигдальна, буд. 82, Гребінка, 45213",868-17-50,szhuk@example.org
Павлик,Костянтин,Сергійович,чоловіча,1985-08-16,Електрослюсар,селище Івано-Франківськ,"сквер Проценка, буд. 6 кв. 969, Ладижин, 74385",081 497-79-83,dmytro84@example.net
Годунок,Соломія,Михайлівна,жіноча,1952-06-20,Детектив,хутір Рогатин,"площа Грибоєдова, буд. 31, Ізюм, 20811",+380 (64) 528-13-82,martyniakymchuk@example.net
Доценко,Георгій,Васильович,чоловіча,1988-05-01,Астронавт,місто Боярка,"парк Мічманський 2-й, буд. 06 кв. 8, Буринь, 16556",494 49 29,veniiamynbazylevskyi@example.org
Василечко,Златослава,Іванівна,жіноча,2006-11-22,Прокурор,місто Генічеськ,"парк Аеропортівський 6-й, буд. 974, Середина-Буда, 40125",674 99 50,etsarenko@example.net
Мазепа,Клавдія,Петрівна,жіноча,1957-12-18,Прокурор,село Макіївка,"набережна Верстатобудівна, буд. 0, Краматорськ, 78848",390 01 70,husyk@example.com
Вакуленко,Єва,Юріївна,жіноча,1983-05-04,Астронавт,місто Дергачі,"провулок Ніжинська, буд. 42 кв. 7, Лозова , 18929",+380 (40) 065-69-86,favramenko@example.com
Заруба,Ігор,Андрійович,чоловіча,1996-10-26,Етнограф,селище Бахмут,"вулиця Горіхова, буд. 677, Рогатин, 45033",063 419 30 34,rudkoarkadii@example.net
Дейнека,Богданна,Андріївна,жіноча,1974-03-28,Будник,місто Марганець ,"узвіз Шишкіна, буд. 3, Дніпро , 28003",+380 39 014 82 73,tsushkoamvrosii@example.com
Конопленко,Левко,Михайлович,чоловіча,1979-01-12,Зоолог,селище Олевськ,"узвіз Чапаєва, буд. 0, Білогірськ, 51330",+380 (50) 122-46-68,semenchenkoavrelii@example.com
Канівець,Микита,Федорович,чоловіча,2006-05-18,Акушер,село Кіцмань,"парк Онілової, буд. 72, Вуглегірськ, 70478",084 891-34-80,tkhmara@example.net
Ткаченко,Лукʼян,Вікторович,чоловіча,1949-10-14,Лікар,село Інкерман,"площа Урожайна, буд. 4, Бердичів, 05816",341 12 80,pavlo00@example.net
